regret,cumregret,paramerror,context,action,reward
0.0,5.512791789046648,0.05622248301051166,85,4,0.33393223163443086
0.0,5.512791789046648,0.0560805777617792,69,6,0.6218503726945853
1.1102230246251565e-16,5.512791789046648,0.0560499800437466,41,4,0.6992926771562564
0.0,5.512791789046648,0.05548084417252759,69,6,0.6616398027754237
0.0,5.512791789046648,0.05534902840851438,35,1,0.3838527943764818
-5.551115123125783e-17,5.512791789046648,0.0546470893008496,20,0,0.4147526782254481
0.0,5.512791789046648,0.05464909733512664,16,9,0.5037929308679545
0.0,5.512791789046648,0.0549684349256639,84,9,0.7147102983745766
0.0,5.512791789046648,0.055296030956555726,5,8,0.4034921369960864
0.0,5.512791789046648,0.054853253504283904,13,2,-0.03665932277390732
5.551115123125783e-17,5.512791789046648,0.056763164026066716,12,7,0.4604130764679992
0.0,5.512791789046648,0.05845566611161652,21,4,0.6729250997842844
1.1102230246251565e-16,5.512791789046648,0.05829228512401566,89,7,0.4281111488717635
0.010134945596844358,5.522926734643492,0.05865469351121973,95,6,0.41862697269179855
5.551115123125783e-17,5.522926734643492,0.05848245231655012,12,7,0.3781039181489033
-5.551115123125783e-17,5.522926734643492,0.05906710930010677,9,2,0.46638376391525216
0.0,5.522926734643492,0.05818673817883387,63,4,0.5750756386287603
0.0,5.522926734643492,0.05831465713319614,55,2,0.3044421051122139
-5.551115123125783e-17,5.522926734643492,0.058122717582811546,53,9,0.3578090240375028
0.0,5.522926734643492,0.05703300481519174,73,0,0.3372721503226659
0.0,5.522926734643492,0.0564643214996063,43,8,0.3318543742581359
0.0,5.522926734643492,0.05713973209803042,13,2,0.3736241917992781
0.0,5.522926734643492,0.055741316567405386,62,2,0.38551541331781325
0.0021687459778008122,5.525095480621292,0.05549757428596907,8,8,0.29643839088889634
0.05207671879137893,5.577172199412671,0.056353939975258394,66,6,0.4722219235551116
1.1102230246251565e-16,5.577172199412671,0.05774417857422462,49,0,0.4332852266360363
0.015595149170863576,5.592767348583535,0.05939971993445215,80,8,0.347900374166634
-5.551115123125783e-17,5.592767348583535,0.05951870747037546,53,9,0.3863926273718137
